Loan_ID,Industry_Type,Revenue (in $M),Debt-to-Equity Ratio,Credit_Score,Green_Energy_Investment (in $M),Energy_Efficiency_Score,Environmental_Certification,Loan_Amount (in $M),ROI (%),Project_Completion_Time (in months),Operational_Costs (in $M),Risk_Level,Energy_Capacity (MW),Approval_Status,Project_Impact,Risk_Assessment,Governance_Structure
LOAN-0190,Agriculture,363.3,2.21,822,123.69,16,No,98.96,0.25,17,26.36,High,369.84,Rejected,Low,Severe,Centralized
LOAN-0191,Healthcare,319.52,1.94,672,51.02,26,Yes,48.94,24.46,14,42.66,High,271.84,Rejected,Low,Severe,Centralized
LOAN-0192,Construction,477.0,2.16,537,81.77,60,Yes,51.95,22.07,15,2.05,High,352.75,Rejected,Medium,Severe,Centralized
LOAN-0193,Renewable Energy,312.94,2.44,586,4.81,91,Yes,35.49,16.9,25,45.38,Medium,332.68,Rejected,High,Moderate,Centralized
LOAN-0194,Technology,213.49,2.36,638,33.84,84,No,37.11,-3.07,8,40.3,Low,403.01,Rejected,Low,Severe,Centralized
LOAN-0195,Construction,356.54,1.5,460,113.59,87,No,68.8,18.12,24,36.39,High,201.03,Rejected,High,Severe,Decentralized
LOAN-0196,Construction,181.94,2.4,698,160.33,43,Yes,89.67,11.57,13,19.3,Medium,223.03,Approved,Low,Moderate,Centralized
LOAN-0197,Agriculture,165.05,1.94,502,173.07,28,Yes,62.83,15.41,23,6.91,Low,217.53,Rejected,Low,Severe,Decentralized
LOAN-0198,Renewable Energy,128.71,1.91,438,157.25,59,Yes,58.54,21.71,33,24.63,Medium,487.48,Rejected,Medium,Moderate,Decentralized
LOAN-0199,Agriculture,161.21,0.25,798,193.65,98,No,84.63,9.13,23,33.07,High,3.86,Rejected,Medium,Severe,Centralized
LOAN-0200,Technology,23.81,2.85,615,80.42,71,Yes,42.37,7.47,25,6.58,Medium,267.68,Approved,Medium,Moderate,Centralized
LOAN-0201,Construction,191.79,2.66,517,74.8,3,No,63.17,3.8,28,44.93,High,419.78,Rejected,Low,Severe,Centralized
LOAN-0202,Construction,474.93,0.84,585,49.52,56,No,9.75,-4.66,28,2.57,Low,458.42,Rejected,Low,Minimal,Centralized
LOAN-0203,Agriculture,191.81,1.31,737,91.37,57,No,93.31,7.28,27,10.75,High,277.86,Rejected,Medium,Severe,Centralized
LOAN-0204,Healthcare,258.07,1.6,644,69.51,43,No,40.75,17.11,18,27.84,High,191.52,Rejected,Low,Severe,Centralized
LOAN-0205,Healthcare,401.88,2.15,753,130.76,67,No,24.58,-1.26,27,35.95,Low,118.86,Rejected,Low,Severe,Decentralized
LOAN-0206,Renewable Energy,295.57,1.47,314,129.77,13,No,38.98,22.18,31,36.26,High,434.69,Rejected,Low,Severe,Decentralized
LOAN-0207,Healthcare,485.0,2.88,646,197.15,28,No,52.35,15.7,14,20.75,High,170.75,Rejected,Low,Severe,Centralized
LOAN-0208,Technology,252.38,2.56,796,114.59,57,No,25.29,-2.48,30,33.12,High,412.75,Rejected,Low,Severe,Centralized
LOAN-0209,Technology,337.16,0.75,819,83.37,85,Yes,75.5,15.76,33,9.71,Medium,483.65,Rejected,High,Moderate,Decentralized
LOAN-0210,Construction,392.89,0.69,422,53.1,90,Yes,11.81,11.66,35,28.12,High,374.11,Rejected,High,Severe,Centralized
LOAN-0211,Agriculture,92.42,0.9,730,130.4,58,Yes,97.92,6.14,10,18.74,High,158.51,Rejected,Medium,Severe,Community-driven
LOAN-0212,Technology,221.59,1.49,659,131.34,41,Yes,72.22,23.29,14,22.47,Medium,360.99,Rejected,Low,Moderate,Centralized
LOAN-0213,Renewable Energy,320.23,0.75,733,147.98,98,Yes,46.45,-1.24,31,32.81,Low,37.1,Rejected,Low,Minimal,Community-driven
LOAN-0214,Agriculture,395.73,2.04,814,93.93,69,Yes,16.59,18.18,26,6.43,Medium,28.66,Rejected,Medium,Moderate,Community-driven
LOAN-0215,Technology,135.52,2.14,573,175.58,22,No,53.9,19.09,35,17.55,High,18.96,Rejected,Low,Severe,Community-driven
LOAN-0216,Renewable Energy,133.86,2.11,798,176.99,20,No,41.52,-4.22,31,17.89,High,17.23,Rejected,Low,Severe,Community-driven
LOAN-0217,Agriculture,396.66,1.57,654,50.78,17,Yes,96.13,13.38,32,24.3,Medium,349.73,Rejected,Low,Moderate,Community-driven
LOAN-0218,Healthcare,101.7,1.71,571,30.25,48,Yes,83.45,9.12,24,32.98,High,67.97,Rejected,Low,Severe,Decentralized
LOAN-0219,Agriculture,61.31,2.15,666,181.44,5,Yes,94.11,0.56,28,21.23,Medium,24.26,Approved,Low,Moderate,Community-driven
LOAN-0220,Agriculture,460.55,2.52,777,61.74,98,Yes,59.7,14.74,14,36.57,Low,113.78,Rejected,High,Severe,Centralized
LOAN-0221,Healthcare,135.07,0.67,606,20.78,1,No,58.5,22.22,16,2.78,High,399.11,Rejected,Low,Severe,Centralized
LOAN-0222,Healthcare,403.01,2.44,732,99.58,43,No,60.73,-3.59,32,15.28,Medium,402.87,Rejected,Low,Moderate,Community-driven
LOAN-0223,Technology,186.06,0.51,802,39.2,36,No,35.77,12.57,9,6.29,Low,349.29,Rejected,Low,Minimal,Centralized
LOAN-0224,Agriculture,326.61,0.68,627,78.72,91,Yes,55.69,6.86,32,10.17,Low,387.4,Rejected,Medium,Minimal,Community-driven
LOAN-0225,Agriculture,438.97,0.78,792,59.67,36,No,17.91,20.53,9,7.98,High,45.4,Rejected,Low,Severe,Community-driven
LOAN-0226,Construction,93.13,0.36,739,105.91,25,Yes,82.29,-1.47,22,21.09,High,115.63,Rejected,Low,Severe,Centralized
LOAN-0227,Agriculture,469.04,2.33,732,56.79,66,Yes,24.82,4.53,9,34.59,High,483.3,Rejected,Low,Severe,Decentralized
LOAN-0228,Construction,490.31,1.76,791,96.96,55,No,57.25,6.42,11,41.51,Medium,273.17,Rejected,Medium,Moderate,Community-driven
LOAN-0229,Agriculture,424.11,2.94,752,10.45,66,Yes,98.09,18.51,19,11.13,High,8.29,Rejected,Medium,Severe,Community-driven
LOAN-0230,Renewable Energy,134.46,0.8,475,199.85,67,No,10.74,8.92,23,3.65,High,433.15,Rejected,Medium,Severe,Community-driven
LOAN-0231,Healthcare,60.52,1.94,600,141.72,83,Yes,12.55,6.02,6,11.38,Low,377.85,Rejected,Medium,Severe,Community-driven
LOAN-0232,Renewable Energy,15.55,2.8,624,36.95,78,Yes,74.28,6.95,10,36.42,Medium,241.89,Rejected,Medium,Moderate,Community-driven
LOAN-0233,Healthcare,203.6,2.42,633,56.72,58,Yes,73.76,8.37,28,47.44,High,124.37,Rejected,Medium,Severe,Decentralized
LOAN-0234,Healthcare,177.37,0.49,553,4.35,68,Yes,18.2,17.68,27,20.95,High,53.46,Rejected,Medium,Severe,Community-driven
LOAN-0235,Construction,312.76,0.11,666,157.77,13,Yes,20.38,-4.25,8,20.22,Low,484.88,Rejected,Low,Minimal,Decentralized
LOAN-0236,Agriculture,200.3,1.95,306,197.73,16,Yes,60.06,21.25,35,32.62,Low,322.73,Approved,Low,Severe,Decentralized
LOAN-0237,Agriculture,366.01,0.26,392,118.82,71,Yes,52.31,20.17,22,10.39,Low,428.3,Rejected,High,Minimal,Decentralized
LOAN-0238,Agriculture,238.73,2.41,413,160.83,9,No,98.59,6.13,10,22.82,Medium,60.41,Rejected,Low,Moderate,Centralized
LOAN-0239,Technology,81.93,0.36,770,39.47,71,Yes,98.46,5.35,25,19.07,High,268.63,Rejected,Medium,Severe,Community-driven
LOAN-0240,Technology,77.79,2.92,651,167.73,85,No,46.52,-4.24,7,17.83,Medium,309.88,Rejected,Low,Moderate,Community-driven
LOAN-0241,Healthcare,182.68,2.97,810,81.33,14,Yes,87.83,11.87,27,14.43,Low,32.09,Rejected,Low,Severe,Community-driven
LOAN-0242,Construction,41.88,0.85,717,70.04,26,No,46.9,1.28,17,45.58,Low,188.34,Rejected,Low,Minimal,Community-driven
LOAN-0243,Agriculture,315.54,2.68,423,39.9,39,Yes,87.15,2.54,19,8.76,Low,334.28,Rejected,Low,Severe,Community-driven
LOAN-0244,Technology,401.8,1.69,683,104.26,81,No,66.64,13.38,23,3.85,Medium,110.68,Rejected,High,Moderate,Community-driven
LOAN-0245,Renewable Energy,198.6,0.47,770,31.75,3,Yes,7.97,10.05,23,9.86,Medium,347.76,Rejected,Low,Moderate,Centralized
LOAN-0246,Renewable Energy,47.78,2.44,420,175.14,1,Yes,94.55,19.48,11,28.29,Medium,224.57,Rejected,Low,Moderate,Decentralized
LOAN-0247,Healthcare,498.08,2.35,311,194.81,9,No,56.57,-0.1,19,26.6,Low,452.62,Rejected,Low,Severe,Centralized
LOAN-0248,Technology,198.35,0.98,703,132.3,83,Yes,84.61,2.41,8,17.09,Medium,470.16,Approved,Low,Moderate,Community-driven
LOAN-0249,Technology,340.12,0.54,569,104.95,22,No,19.4,24.42,28,46.67,Low,426.43,Rejected,Low,Minimal,Community-driven
LOAN-0250,Agriculture,171.57,2.81,692,56.05,22,Yes,73.47,-0.55,17,29.41,Medium,454.15,Rejected,Low,Moderate,Community-driven
LOAN-0251,Construction,36.4,0.41,495,192.52,15,No,70.67,-3.85,25,41.72,Low,206.74,Rejected,Low,Minimal,Centralized
LOAN-0252,Technology,58.01,2.08,337,167.61,60,Yes,38.21,-0.89,7,28.23,Low,55.65,Rejected,Low,Severe,Decentralized
LOAN-0253,Healthcare,292.66,2.74,517,140.31,92,No,13.56,-2.09,27,21.73,Low,273.3,Rejected,Low,Severe,Centralized
LOAN-0254,Technology,447.0,2.17,474,135.05,88,No,90.87,22.69,31,49.17,High,491.49,Rejected,High,Severe,Decentralized
LOAN-0255,Agriculture,172.72,0.44,412,169.92,88,No,24.66,9.48,34,38.05,High,237.62,Rejected,Medium,Severe,Community-driven
LOAN-0256,Technology,43.74,1.07,838,71.57,71,No,45.41,5.21,34,16.82,High,275.42,Approved,Medium,Severe,Community-driven
LOAN-0257,Agriculture,380.64,1.48,704,142.24,65,Yes,99.53,14.35,36,21.34,High,414.84,Rejected,Medium,Severe,Community-driven
LOAN-0258,Construction,394.96,0.63,334,159.99,14,Yes,16.55,1.1,27,11.81,Low,380.27,Approved,Low,Minimal,Community-driven
LOAN-0259,Technology,180.48,2.05,753,197.15,83,Yes,81.67,16.87,16,5.02,High,402.0,Rejected,High,Severe,Community-driven
LOAN-0260,Healthcare,42.25,0.81,515,134.63,34,Yes,90.16,-0.68,23,16.57,Low,452.87,Rejected,Low,Minimal,Centralized
LOAN-0261,Agriculture,241.4,1.94,736,73.56,50,Yes,64.65,4.39,24,14.15,High,233.96,Rejected,Low,Severe,Decentralized
LOAN-0262,Renewable Energy,95.82,1.04,482,106.47,88,Yes,82.2,-2.76,27,38.95,High,332.62,Rejected,Low,Severe,Centralized
LOAN-0263,Renewable Energy,434.97,2.97,382,175.44,17,No,12.89,5.31,30,16.46,High,256.27,Rejected,Low,Severe,Decentralized
LOAN-0264,Construction,441.07,0.98,698,33.47,83,No,27.29,5.07,36,39.83,High,488.59,Rejected,Medium,Severe,Decentralized
LOAN-0265,Construction,301.74,1.82,477,171.09,75,No,16.2,19.84,16,5.83,Low,89.22,Rejected,High,Severe,Community-driven
LOAN-0266,Agriculture,233.25,0.71,424,183.95,78,Yes,87.24,24.29,25,27.17,Medium,296.84,Rejected,High,Moderate,Decentralized
LOAN-0267,Agriculture,76.23,2.74,472,145.57,96,No,63.26,16.58,21,6.94,Medium,60.1,Rejected,High,Moderate,Decentralized
LOAN-0268,Construction,124.36,2.35,661,197.56,15,Yes,56.04,5.08,21,31.13,High,327.51,Rejected,Low,Severe,Centralized
LOAN-0269,Agriculture,293.25,0.56,628,182.68,31,Yes,58.98,18.31,15,19.75,High,44.92,Approved,Low,Severe,Decentralized
LOAN-0270,Technology,406.28,0.84,784,10.78,33,No,21.48,7.66,27,25.29,High,305.81,Rejected,Low,Severe,Centralized
LOAN-0271,Construction,300.6,1.74,543,31.87,58,Yes,71.0,19.23,36,43.37,High,21.11,Rejected,Medium,Severe,Community-driven
LOAN-0272,Renewable Energy,491.3,2.01,582,169.53,80,No,71.91,24.13,7,33.7,Low,314.59,Rejected,High,Severe,Centralized
LOAN-0273,Construction,174.54,1.58,439,49.23,51,No,32.96,18.17,21,10.74,Low,318.61,Rejected,Medium,Severe,Community-driven
LOAN-0274,Agriculture,254.45,0.21,648,167.54,82,No,62.69,15.37,24,30.58,Medium,70.61,Rejected,High,Moderate,Community-driven
LOAN-0275,Healthcare,307.68,1.31,846,154.6,47,Yes,59.37,22.56,15,3.14,Medium,144.15,Rejected,Low,Moderate,Community-driven
LOAN-0276,Agriculture,473.44,0.57,441,149.75,70,No,41.14,1.53,36,12.52,High,86.9,Rejected,Low,Severe,Community-driven
LOAN-0277,Agriculture,98.83,0.73,481,192.1,89,No,51.93,19.65,27,10.05,Medium,352.24,Rejected,High,Moderate,Decentralized
LOAN-0278,Technology,451.3,1.97,408,68.58,33,No,71.2,-3.7,26,6.32,High,71.73,Rejected,Low,Severe,Community-driven
LOAN-0279,Agriculture,178.98,1.67,544,64.98,59,Yes,88.89,12.81,35,4.71,High,98.62,Approved,Medium,Severe,Community-driven
LOAN-0280,Healthcare,135.92,2.81,639,110.68,93,No,93.33,9.75,30,9.62,High,30.62,Rejected,Medium,Severe,Community-driven
LOAN-0281,Healthcare,296.34,1.08,629,155.62,34,Yes,86.02,8.67,10,44.99,Low,497.23,Rejected,Low,Severe,Community-driven
LOAN-0282,Agriculture,472.68,0.65,395,180.41,14,Yes,16.06,14.13,8,28.75,High,156.81,Rejected,Low,Severe,Centralized
LOAN-0283,Construction,379.05,2.25,810,85.94,31,Yes,47.56,22.77,10,5.85,Low,32.7,Rejected,Low,Severe,Community-driven
LOAN-0284,Renewable Energy,57.69,1.06,718,42.09,82,Yes,46.48,7.53,20,8.94,Low,264.35,Rejected,Medium,Severe,Centralized
LOAN-0285,Technology,69.93,1.39,511,133.73,11,Yes,15.65,16.59,25,20.0,Medium,176.26,Approved,Low,Moderate,Centralized
LOAN-0286,Healthcare,64.13,0.83,611,82.26,60,No,63.18,13.64,32,16.45,High,44.16,Rejected,Medium,Severe,Centralized
LOAN-0287,Construction,482.31,1.61,439,67.42,75,No,45.75,14.44,28,44.73,Low,483.65,Rejected,High,Severe,Decentralized
LOAN-0288,Agriculture,401.95,1.57,800,136.03,28,No,70.91,4.08,32,47.79,Medium,367.0,Rejected,Low,Moderate,Decentralized
LOAN-0289,Renewable Energy,484.99,2.87,419,153.67,67,No,79.1,22.34,27,1.6,Medium,137.83,Rejected,Medium,Moderate,Centralized
LOAN-0290,Healthcare,96.04,0.17,373,120.53,28,Yes,7.44,16.16,31,8.15,Low,109.97,Approved,Low,Minimal,Centralized
LOAN-0291,Renewable Energy,496.18,1.22,507,42.79,48,Yes,70.5,16.47,26,37.63,Medium,12.56,Rejected,Low,Moderate,Community-driven
LOAN-0292,Agriculture,308.65,1.3,305,152.26,88,No,31.2,2.17,17,44.22,Low,46.08,Rejected,Low,Severe,Community-driven
LOAN-0293,Renewable Energy,354.03,2.73,458,15.53,48,Yes,62.3,22.07,20,27.01,High,413.98,Rejected,Low,Severe,Community-driven
LOAN-0294,Construction,29.13,2.47,835,84.88,94,No,7.96,7.21,21,20.52,Medium,226.84,Rejected,Medium,Moderate,Centralized
LOAN-0295,Technology,277.24,0.77,541,175.04,96,No,90.81,11.81,15,31.39,Medium,34.19,Rejected,High,Moderate,Centralized
LOAN-0296,Renewable Energy,476.38,0.12,624,66.77,7,No,73.62,23.54,19,16.38,High,198.33,Rejected,Low,Severe,Centralized
LOAN-0297,Technology,460.86,0.61,562,104.68,53,No,23.28,4.15,18,15.13,Low,364.83,Rejected,Low,Minimal,Community-driven
LOAN-0298,Construction,309.27,1.59,717,13.5,72,Yes,70.51,7.9,15,26.55,High,155.87,Rejected,Medium,Severe,Decentralized
LOAN-0299,Renewable Energy,17.74,0.22,464,9.56,69,Yes,36.46,5.53,32,3.56,High,497.4,Rejected,Medium,Severe,Community-driven
LOAN-0300,Renewable Energy,416.34,0.48,705,24.14,79,Yes,51.43,14.89,34,30.2,Medium,446.78,Rejected,High,Moderate,Centralized
LOAN-0301,Construction,466.86,0.68,339,127.14,66,Yes,87.71,-2.71,12,46.35,High,177.85,Rejected,Low,Severe,Decentralized
LOAN-0302,Healthcare,35.09,1.41,836,128.21,27,Yes,46.71,18.09,9,33.44,High,70.04,Rejected,Low,Severe,Decentralized
LOAN-0303,Agriculture,316.53,0.14,769,197.24,97,No,95.67,10.14,31,25.65,Low,432.51,Rejected,High,Minimal,Decentralized
LOAN-0304,Technology,427.67,1.77,506,21.77,85,Yes,86.64,16.48,14,17.15,Low,296.25,Rejected,High,Severe,Community-driven
LOAN-0305,Healthcare,242.12,0.25,565,185.71,54,Yes,26.92,12.92,35,46.91,High,296.78,Rejected,Medium,Severe,Decentralized
LOAN-0306,Technology,247.07,1.45,568,196.27,60,Yes,13.54,6.52,10,6.94,High,142.86,Rejected,Medium,Severe,Centralized
LOAN-0307,Healthcare,59.78,1.24,783,26.21,13,No,97.18,8.07,20,7.13,Medium,302.65,Rejected,Low,Moderate,Centralized
LOAN-0308,Agriculture,146.03,0.84,474,97.62,61,Yes,11.91,4.97,35,34.83,Low,306.15,Rejected,Low,Minimal,Centralized
LOAN-0309,Agriculture,106.89,0.16,823,43.31,28,No,54.72,-4.92,6,47.25,High,162.21,Rejected,Low,Severe,Decentralized
LOAN-0310,Renewable Energy,95.24,0.37,678,118.06,99,Yes,9.31,14.53,14,35.14,Medium,5.03,Rejected,High,Moderate,Community-driven
LOAN-0311,Agriculture,181.76,2.58,455,45.66,2,Yes,81.96,-0.17,20,33.28,High,318.49,Rejected,Low,Severe,Centralized
LOAN-0312,Healthcare,110.99,1.85,306,93.13,37,Yes,57.99,5.4,25,23.02,High,422.95,Rejected,Low,Severe,Community-driven
LOAN-0313,Renewable Energy,91.28,0.32,469,40.63,92,No,48.94,8.85,18,26.33,Low,386.55,Rejected,Medium,Minimal,Community-driven
LOAN-0314,Healthcare,425.74,2.48,556,111.79,52,No,81.89,23.22,7,35.27,High,155.32,Approved,Medium,Severe,Community-driven
LOAN-0315,Technology,69.44,1.32,402,79.64,10,Yes,38.06,22.42,35,47.18,High,464.43,Rejected,Low,Severe,Community-driven
LOAN-0316,Construction,178.74,1.91,607,8.01,39,No,96.5,-1.24,33,6.42,High,88.84,Rejected,Low,Severe,Community-driven
LOAN-0317,Construction,373.28,1.13,601,138.55,78,Yes,77.97,17.27,11,38.86,Low,87.61,Rejected,High,Severe,Centralized
LOAN-0318,Construction,28.59,1.63,675,47.44,51,Yes,48.88,11.08,18,5.7,Medium,272.79,Rejected,Medium,Moderate,Decentralized
LOAN-0319,Technology,150.13,0.11,671,195.55,24,No,99.42,-3.01,11,37.45,Medium,333.3,Rejected,Low,Moderate,Community-driven
LOAN-0320,Technology,165.17,2.22,792,76.77,45,Yes,88.59,15.16,6,18.07,Medium,286.39,Rejected,Low,Moderate,Decentralized
LOAN-0321,Construction,89.63,0.18,505,37.29,46,Yes,27.42,19.77,12,40.76,High,256.4,Approved,Low,Severe,Community-driven
LOAN-0322,Healthcare,130.77,2.48,553,24.42,29,Yes,58.81,10.78,36,12.61,Low,328.19,Approved,Low,Severe,Centralized
LOAN-0323,Technology,473.79,2.99,480,97.01,57,Yes,61.23,19.25,11,45.92,Medium,331.26,Rejected,Medium,Moderate,Centralized
LOAN-0324,Renewable Energy,166.91,0.57,776,162.98,21,Yes,88.45,3.61,36,38.36,High,344.07,Rejected,Low,Severe,Community-driven
LOAN-0325,Healthcare,71.1,1.76,385,64.5,42,No,7.37,-3.97,19,46.97,Low,142.6,Rejected,Low,Severe,Community-driven
LOAN-0326,Agriculture,51.06,1.2,486,59.3,32,Yes,42.37,18.69,25,27.1,High,455.3,Rejected,Low,Severe,Centralized
LOAN-0327,Renewable Energy,495.82,1.43,432,38.84,34,Yes,20.18,-3.31,7,4.13,Medium,72.51,Rejected,Low,Moderate,Community-driven
LOAN-0328,Healthcare,430.78,0.51,477,118.77,97,Yes,22.7,7.26,19,28.39,High,496.45,Rejected,Medium,Severe,Centralized
LOAN-0329,Healthcare,139.22,2.88,479,94.62,24,Yes,62.33,15.87,20,8.32,Low,304.18,Approved,Low,Severe,Centralized
LOAN-0330,Renewable Energy,314.14,1.65,464,33.62,22,No,37.39,24.93,14,6.66,Low,149.07,Rejected,Low,Severe,Centralized
LOAN-0331,Healthcare,386.73,1.81,827,45.8,82,Yes,51.79,4.12,35,44.67,High,401.0,Rejected,Low,Severe,Community-driven
LOAN-0332,Construction,56.29,1.41,786,35.5,92,Yes,26.37,0.71,8,37.84,High,143.03,Approved,Low,Severe,Decentralized
LOAN-0333,Healthcare,362.79,1.37,820,138.84,17,Yes,55.29,22.78,36,21.97,Medium,229.14,Rejected,Low,Moderate,Decentralized
LOAN-0334,Construction,470.57,1.14,613,168.36,96,Yes,75.41,0.68,25,2.1,High,329.34,Rejected,Low,Severe,Decentralized
LOAN-0335,Renewable Energy,104.92,2.33,539,137.02,83,No,41.72,8.38,6,43.55,Low,256.53,Rejected,Medium,Severe,Decentralized
LOAN-0336,Renewable Energy,199.6,2.26,846,83.9,70,Yes,56.66,20.69,6,19.84,Medium,57.98,Rejected,Medium,Moderate,Centralized
LOAN-0337,Technology,360.16,2.85,640,189.1,77,Yes,61.83,24.33,34,10.56,Medium,14.71,Rejected,High,Moderate,Community-driven
LOAN-0338,Construction,419.84,2.46,463,35.09,21,Yes,12.54,-0.62,20,14.25,Medium,350.04,Rejected,Low,Moderate,Decentralized
LOAN-0339,Healthcare,450.54,1.03,684,134.34,20,Yes,72.78,6.57,35,30.52,Medium,167.02,Rejected,Low,Moderate,Decentralized
LOAN-0340,Healthcare,282.6,2.41,790,53.35,71,Yes,35.91,18.95,34,47.69,High,61.17,Rejected,High,Severe,Decentralized
LOAN-0341,Construction,34.73,0.76,483,169.7,25,No,9.48,2.68,25,8.1,High,261.98,Rejected,Low,Severe,Centralized
LOAN-0342,Healthcare,362.93,2.2,589,140.49,32,No,56.93,-4.75,30,9.32,Low,198.52,Rejected,Low,Severe,Community-driven
LOAN-0343,Renewable Energy,487.68,0.57,311,115.95,76,No,91.63,24.65,28,5.3,Medium,189.51,Rejected,High,Moderate,Community-driven
LOAN-0344,Technology,121.33,0.59,687,123.69,47,Yes,54.01,10.91,11,17.34,High,388.4,Rejected,Low,Severe,Community-driven
LOAN-0345,Technology,320.15,1.22,699,199.37,67,No,46.25,17.51,9,28.62,High,262.5,Rejected,Medium,Severe,Decentralized
LOAN-0346,Healthcare,116.98,0.71,748,40.26,57,Yes,28.22,7.22,33,24.34,Low,225.89,Approved,Medium,Minimal,Community-driven
LOAN-0347,Technology,273.69,1.16,682,7.23,69,Yes,35.86,1.35,11,3.18,High,280.15,Rejected,Low,Severe,Decentralized
LOAN-0348,Construction,330.98,0.48,333,85.01,9,Yes,49.68,21.56,14,47.4,High,86.2,Rejected,Low,Severe,Centralized
LOAN-0349,Technology,413.65,1.94,590,183.38,18,No,85.52,16.24,13,30.09,Medium,236.27,Rejected,Low,Moderate,Decentralized
LOAN-0350,Agriculture,412.95,1.1,770,167.29,82,Yes,83.64,11.07,6,13.09,Medium,209.76,Rejected,High,Moderate,Centralized
LOAN-0351,Construction,116.4,2.09,798,59.33,47,No,29.31,2.36,15,44.68,Low,496.13,Rejected,Low,Severe,Centralized
LOAN-0352,Renewable Energy,469.63,0.52,724,191.19,10,Yes,16.32,19.72,27,37.29,Medium,334.52,Rejected,Low,Moderate,Community-driven
LOAN-0353,Technology,428.75,1.8,491,17.13,79,No,10.51,20.53,27,40.4,Low,15.27,Rejected,High,Severe,Decentralized
LOAN-0354,Agriculture,354.83,2.66,358,172.36,98,No,31.8,-2.06,34,5.84,High,462.84,Rejected,Low,Severe,Decentralized
LOAN-0355,Agriculture,259.73,2.17,717,12.71,12,Yes,97.4,21.79,15,3.27,High,176.25,Rejected,Low,Severe,Community-driven
LOAN-0356,Construction,484.88,2.93,647,48.86,98,No,62.16,1.66,36,12.7,Medium,219.61,Rejected,Low,Moderate,Community-driven
LOAN-0357,Construction,442.75,2.86,486,36.08,77,No,66.77,23.19,29,31.28,Medium,32.85,Rejected,High,Moderate,Decentralized
LOAN-0358,Healthcare,85.19,2.71,634,130.87,88,No,36.87,14.91,34,45.29,High,492.04,Rejected,High,Severe,Community-driven
LOAN-0359,Healthcare,137.84,1.22,362,70.07,5,Yes,37.81,17.92,14,29.23,Low,144.69,Rejected,Low,Severe,Community-driven
LOAN-0360,Construction,180.92,0.18,457,105.07,41,Yes,52.34,15.04,29,41.37,High,453.27,Rejected,Low,Severe,Centralized
LOAN-0361,Technology,469.47,0.71,396,84.61,63,No,92.53,21.64,14,3.25,Medium,137.66,Rejected,Medium,Moderate,Decentralized
LOAN-0362,Agriculture,416.48,1.04,583,94.95,50,No,96.96,4.53,10,47.81,Low,182.1,Rejected,Low,Severe,Decentralized
LOAN-0363,Healthcare,371.11,0.69,320,176.64,58,No,84.16,1.09,11,17.61,High,411.01,Rejected,Low,Severe,Community-driven
LOAN-0364,Construction,178.14,2.74,326,57.43,85,Yes,61.75,23.64,12,6.74,Low,78.93,Rejected,High,Severe,Community-driven
LOAN-0365,Healthcare,140.85,1.25,517,105.47,98,Yes,8.5,3.47,25,46.89,High,271.25,Rejected,Low,Severe,Centralized
LOAN-0366,Renewable Energy,253.92,1.56,715,145.99,27,Yes,27.71,11.81,10,8.06,High,168.86,Approved,Low,Severe,Community-driven
LOAN-0367,Agriculture,272.69,1.58,584,29.68,50,No,67.42,6.18,30,12.71,High,221.83,Rejected,Low,Severe,Community-driven
LOAN-0368,Healthcare,203.85,1.85,618,101.88,90,Yes,61.15,11.98,19,45.58,Low,401.33,Approved,High,Severe,Community-driven
LOAN-0369,Agriculture,337.89,1.92,432,40.17,17,Yes,8.75,23.02,13,3.25,High,195.98,Rejected,Low,Severe,Centralized
LOAN-0370,Technology,268.84,0.4,684,62.52,20,Yes,58.32,4.59,13,18.32,High,272.86,Rejected,Low,Severe,Decentralized
LOAN-0371,Renewable Energy,242.05,1.61,564,103.46,70,No,11.03,-2.03,23,28.23,Low,382.53,Rejected,Low,Severe,Decentralized
LOAN-0372,Technology,178.94,1.33,372,138.28,88,Yes,95.53,12.26,14,25.06,Medium,9.05,Rejected,High,Moderate,Centralized
LOAN-0373,Agriculture,99.75,2.13,542,199.59,59,Yes,39.98,11.56,17,20.38,Low,482.73,Rejected,Medium,Severe,Centralized
LOAN-0374,Agriculture,218.17,1.91,763,144.59,92,No,60.93,0.34,28,1.48,Low,59.63,Rejected,Low,Severe,Decentralized
LOAN-0375,Technology,116.41,1.19,699,164.66,23,Yes,23.84,12.61,22,17.48,Low,42.06,Approved,Low,Severe,Centralized
LOAN-0376,Healthcare,297.95,2.65,653,157.13,14,Yes,51.83,0.34,33,7.07,Low,414.91,Rejected,Low,Severe,Decentralized
LOAN-0377,Technology,488.95,2.11,682,186.4,35,Yes,81.04,-0.65,33,13.9,Medium,498.69,Rejected,Low,Moderate,Community-driven
LOAN-0378,Technology,461.7,1.74,823,185.25,8,No,35.95,23.41,6,13.92,Low,495.8,Rejected,Low,Severe,Decentralized
LOAN-0379,Agriculture,369.97,2.26,807,47.88,91,No,25.84,5.47,23,48.69,Medium,385.87,Rejected,Medium,Moderate,Decentralized
LOAN-0380,Healthcare,140.8,1.93,621,4.14,90,Yes,67.88,17.83,17,18.65,Low,23.04,Rejected,High,Severe,Decentralized
LOAN-0381,Healthcare,353.2,1.21,397,189.0,54,No,42.63,3.89,36,13.07,Low,258.87,Rejected,Low,Severe,Centralized
